# codeArbiter override log - append-only audit artifact. Never edit prior lines.
# Format: [ISO-8601] | BY: <role> | GATE: <gate bypassed> | REASON: <reason>
# Historical records below are fictional Academy fixtures.
[2026-07-20T09:15:00Z] | BY: Academy Facilitator | GATE: H-05 fixture seeding | REASON: initial Academy fixture creates its first append-only record before learner labs begin
[2026-08-05T11:08:40.9934335Z] | BY: SUaDtL@users.noreply.github.com | GATE: H-01 | REASON: One-time bypass: H-01 falsely classifies the verified P03 commit on codex/academy-curriculum as a direct main commit; branch proof and 550-test exact-tree run are green.
[2026-08-10T04:10:18.8169447Z] | BY: SUaDtL@users.noreply.github.com | GATE: commit-gate exhaustive local suite completion | REASON: One-time bypass: tests.test_exercise_state timed out after 1804 seconds without a failure; 70 affected tests, focused P02 Windows cases, and WSL-native Linux regressions are green, while the exact-head hosted 16-job matrix remains mandatory before merge.
[2026-08-11T00:00:00Z] | BY: SUaDtL@users.noreply.github.com | GATE: H-05 | REASON: One-time bypass to append SD-ACA-005 as UTF-8 without BOM, recording the reviewed immutable-release verification-boundary correction; existing audit history remains append-only.
[2026-08-12T05:10:17Z] | BY: SUaDtL@users.noreply.github.com | GATE: H-05 | REASON: One-time bypass to append SD-ACA-007 as UTF-8 without BOM, recording the reviewed private-candidate versus immutable-release test-boundary correction; existing audit history remains append-only.
[2026-08-12T05:23:18Z] | BY: SUaDtL@users.noreply.github.com | GATE: H-05 | REASON: One-time bypass to append SD-ACA-008 as UTF-8 without BOM, clarifying SD-ACA-007 without replacing its append-only history.
[2026-08-12T10:20:00Z] | BY: SUaDtL@users.noreply.github.com | GATE: H-05 | REASON: One-time bypass to restore the already-approved SD-ACA-004 F04 SMARTS record as UTF-8 without BOM during post-F03 integration; existing audit history remains append-only.
[2026-08-12T16:20:16Z] | BY: SUaDtL@users.noreply.github.com | GATE: Git hook resolver | REASON: One-time bypass for recording and pushing the already-reviewed Preview 0.10 commit 4548d3de099dd1849cdfcc54722390edd451adfb from a non-default branch; Git for Windows cannot resolve the WSL enforcer path reported in codeArbiter #683, while staged secret scan, focused local evidence, and exact-head hosted CI before merge remain mandatory.
[2026-08-12T17:36:51Z] | BY: SUaDtL@users.noreply.github.com | GATE: Git hook resolver | REASON: One-time bypass to record the reviewed Preview 0.11 P04/P05 release candidate from a non-default branch; this isolated Academy worktree cannot resolve its registered git-enforce.py, the known CodeArbiter #683 path-resolution defect. Staged secret scan, focused release evidence, independent workflow review, and exact-head hosted CI remain mandatory.
[2026-08-12T17:45:24Z] | BY: SUaDtL@users.noreply.github.com | GATE: Git hook resolver | REASON: One-time bypass to record the Preview 0.11 installer-digest correction from a non-default branch; the same CodeArbiter #683 resolver defect blocks the local hook. The builder's two isolated canonical-asset tests and staged secret scan passed; hosted exact-head CI remains mandatory.
[2026-08-12T17:48:09Z] | BY: SUaDtL@users.noreply.github.com | GATE: Git hook resolver | REASON: One-time bypass to record the independent-review README inventory correction from a non-default branch; the same CodeArbiter #683 resolver defect blocks the local hook. The new exact public-route regression and staged secret scan passed; hosted exact-head CI remains mandatory.
[2026-08-12T17:50:00Z] | BY: SUaDtL@users.noreply.github.com | GATE: Git hook resolver | REASON: One-time bypass to push the reviewed Preview 0.11 candidate branch after Git for Windows reproduced the CodeArbiter #683 resolver failure. The branch remains subject to independent review, exact-head hosted CI, immutable-release verification, and Pages deployment before release.
[2026-08-12T17:59:26Z] | BY: SUaDtL@users.noreply.github.com | GATE: Git hook resolver | REASON: One-time bypass to record and push the Preview 0.11 hosted-CI correction from a non-default branch; Git for Windows still reproduces the CodeArbiter #683 resolver failure. The correction is limited to stale workflow expectations and reviewed Linux browser baselines; staged secret scan, exact-head hosted CI, immutable-release verification, and Pages deployment remain mandatory.
[2026-08-12T18:01:18Z] | BY: SUaDtL@users.noreply.github.com | GATE: Git hook resolver | REASON: One-time bypass to record the reviewed private P06 integration from a non-default branch; this isolated Academy worktree cannot resolve its registered git-enforce.py, the known CodeArbiter #683 resolver defect. Focused helper, CLI, curriculum, action-rendering, static-site, lint, compilation, project-state, and staged secret evidence passed; P06 remains non-routable and no public release contract changes.
[2026-08-12T18:22:16Z] | BY: SUaDtL@users.noreply.github.com | GATE: Git hook resolver | REASON: One-time bypass to record the independently reviewed private P06 staging-boundary repair from a non-default branch; Git for Windows still cannot resolve the registered git-enforce.py path in codeArbiter #683. The focused 193-test suite, static checks, and staged secret scan passed; P06 remains non-routable and no public release contract changes.
[2026-08-12T18:25:33Z] | BY: SUaDtL@users.noreply.github.com | GATE: Git hook resolver | REASON: One-time bypass to record the reviewed private P06 integration onto the isolated Preview 0.12 candidate; Git for Windows still cannot resolve the registered git-enforce.py path in codeArbiter #683. Existing focused evidence and independent review passed; P06 remains private while the later release candidate must still pass exact-head hosted CI before publication.
[2026-08-12T19:13:46Z] | BY: academy@example.invalid | GATE: Git hook resolver | REASON: One-time bypass to record the reviewed Preview 0.12 guided Practitioner release candidate from the isolated non-default branch; Git for Windows cannot resolve the registered git-enforce.py path in the known codeArbiter #683 defect. The staged secret scan, focused cross-layer release evidence, independent lesson review, workflow security review, exact-head hosted CI, immutable release verification, and Pages deployment remain mandatory.
[2026-08-12T19:15:11Z] | BY: academy@example.invalid | GATE: Git hook resolver | REASON: One-time bypass to push the reviewed Preview 0.12 candidate branch from the isolated non-default branch after Git for Windows reproduced the known codeArbiter #683 resolver defect. The branch remains subject to exact-head hosted CI, immutable-release verification, and Pages deployment before publication.
[2026-08-12T19:23:28Z] | BY: academy@example.invalid | GATE: Git hook resolver | REASON: One-time bypass to record the reviewed Preview 0.12 Chromium visual baselines and shared-release-chrome regression from the isolated non-default branch; Git for Windows cannot resolve the registered git-enforce.py path in the known codeArbiter #683 defect. The updated branch remains subject to exact-head hosted CI, immutable-release verification, and Pages deployment before publication.
[2026-08-12T19:23:29Z] | BY: academy@example.invalid | GATE: Git hook resolver | REASON: One-time bypass to push the reviewed Preview 0.12 Chromium visual-baseline update after Git for Windows reproduced the known codeArbiter #683 resolver defect. The branch remains subject to a fresh exact-head hosted CI run, immutable-release verification, and Pages deployment before publication.
[2026-08-12T19:33:31Z] | BY: academy@example.invalid | GATE: Git hook resolver | REASON: One-time bypass to record the reviewed Preview 0.12 lesson-availability correction and matching immutable installer digest from the isolated non-default branch; Git for Windows reproduced the known codeArbiter #683 resolver defect. The staged secret scan, focused cross-layer release evidence, fresh exact-head hosted CI, immutable-release verification, and Pages deployment remain mandatory.
